@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %09s "SIS18_MID"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951268
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7199988
@ ALFA             %le        0.0452744126
@ ORBIT5           %le                  -0
@ GAMMATR          %le         4.699737352
@ Q1               %le          4.17069226
@ Q2               %le         3.279293335
@ DQ1              %le        -3.834114329
@ DQ2              %le         -6.00864556
@ DXMAX            %le         2.798900023
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         15.21497422
@ BETYMAX          %le         24.63947212
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.168250884
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %09s "-- SIS --"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "09/08/17"
@ TIME             %08s "11.42.29"
* NAME               KEYWORD                             S                  L               ALFX               ALFY               BETX               BETY                 DX                DPX                MUX                MUY               DMUX               DMUY              ANGLE                K1L                 E1                 E2               LRAD 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DR3E"              "DRIFT"                    99.03000204           1.879017      -0.3496050742     -0.05574795385        6.003805216        7.978743218         1.88554464       0.1841438054        1.935523923        1.513346088                  0                  0                  0                  0                  0                  0                  0
 "S12MB2"            "KICKER"                   99.03000204                  0      -0.3496050742     -0.05574795385        6.003805216        7.978743218         1.88554464       0.1841438054        1.935523923        1.513346088                  0                  0                  0                  0                  0                  0                  0
 "DR3F"              "DRIFT"                     103.490002               4.46       -1.183262656      -0.6164704661        12.84039529        10.97683737        2.706826012       0.1841438054        2.020324655        1.592406606                  0                  0                  0                  0                  0                  0                  0
 "DR3G"              "DRIFT"                     103.990002                0.5       -1.276722026      -0.6793317342        14.07038763        11.62473847        2.798897915       0.1841438054        2.026246378        1.599453566                  0                  0                  0                  0                  0                  0                  0
 "QS1F"              "QUADRUPOLE"                105.030002               1.04        2.622108717       -5.469667176        12.50821629        17.43758245        2.562666662      -0.6267710612        2.038106449        1.611694397                  0                  0                  0          0.2947256                  0                  0                  0
 "DR4"               "DRIFT"                     105.630002                0.6        2.244335231       -6.533481811        9.588349922        24.63947184        2.186604025      -0.6267710612        2.046830522        1.616301981                  0                  0                  0                  0                  0                  0                  0
 "QS2D"              "QUADRUPOLE"                106.670002               1.04       -2.696702195        6.653757535        9.989690884        24.48599651        2.086334074       0.4254259058        2.065332926        1.622457448                  0                  0                  0        -0.51424984                  0                  0                  0
 "DR5"               "DRIFT"                     107.379802             0.7098       -3.284469081        5.341398738        14.23512626        15.97183459        2.388301382       0.4254259058        2.074811788        1.628171092                  0                  0                  0                  0                  0                  0                  0
 "QS3T"              "QUADRUPOLE"                107.860202             0.4804        1.348817782       0.5043505841        15.21496699        13.29717007        2.409039658      -0.3401803815          2.0798778         1.63355196                  0                  0                  0          0.3151424                  0                  0                  0
 "DR6"               "DRIFT"                     108.360002             0.4998         1.25620563       0.4572026662        13.91297629        12.81658575        2.239017503      -0.3401803815         2.08534615        1.639646722                  0                  0                  0                  0                  0                  0                  0
 "S12DX5H"           "MONITOR"                   108.360002                  0         1.25620563       0.4572026662        13.91297629        12.81658575        2.239017503      -0.3401803815         2.08534615        1.639646722                  0                  0                  0                  0                  0                  0                  0
 "DR1"               "DRIFT"                     109.005002              0.645        1.136688146       0.3963575142         12.3695598        12.26603944        2.019601157      -0.3401803815        2.093174456        1.647837652                  0                  0                  0                  0                  0                  0                  0
 "RB"                "SBEND"                    111.6229959        2.617993878       0.6621351509        0.394448144        7.709581448        10.12682735        1.478035937     -0.07811685336        2.135866262        1.685575497                  0                  0       0.2617993878                  0       0.1274090354       0.1274090354                  0
